,simulation_round,success,cum_reward,explored_states_cum,traffic_violations_count,actions_count
0,1,True,-6.5,10,5,16
1,2,True,3.5,21,5,16
2,3,False,-9.0,29,7,30
3,4,False,4.5,31,5,20
4,5,False,-9.5,31,12,35
5,6,False,3.5,31,8,30
6,7,False,-2.5,32,7,25
7,8,False,-11.0,35,8,40
8,9,False,-3.5,36,7,25
9,10,False,-5.0,39,10,25
10,11,False,3.0,40,4,20
11,12,False,-11.0,41,9,25
12,13,False,-0.5,42,4,25
13,14,False,-4.0,43,11,30
14,15,False,-2.0,44,11,45
15,16,False,-5.0,44,7,20
16,17,False,0.5,44,6,45
17,18,False,-4.5,46,10,25
18,19,False,-16.0,47,10,35
19,20,False,-1.5,48,7,25
20,21,False,3.0,48,3,25
21,22,True,-3.5,50,4,17
22,23,False,-11.5,50,16,50
23,24,False,-7.5,50,7,30
24,25,False,-2.0,50,6,25
25,26,False,-2.0,50,8,30
26,27,False,-8.5,50,8,20
27,28,True,0.0,51,1,3
28,29,True,1.5,51,0,4
29,30,False,2.5,53,5,25
30,31,False,-4.5,53,7,30
31,32,False,-1.5,53,3,20
32,33,True,-0.5,55,3,16
33,34,False,-1.5,59,6,25
34,35,False,-10.0,59,10,30
35,36,False,-5.5,59,8,20
36,37,True,-3.5,59,6,13
37,38,False,0.0,60,6,20
38,39,True,-3.0,60,4,9
39,40,True,-7.0,61,6,20
40,41,True,-10.5,62,9,30
41,42,False,0.5,62,3,20
42,43,False,-1.5,63,7,30
43,44,False,-9.0,66,14,35
44,45,False,-3.0,66,5,25
45,46,True,1.0,66,4,12
46,47,True,5.0,69,3,24
47,48,False,-6.0,72,19,55
48,49,False,-0.5,73,7,20
49,50,False,-4.0,76,15,35
50,51,False,-1.5,77,5,25
51,52,False,-9.0,77,12,35
52,53,True,3.0,77,2,6
53,54,True,-1.0,77,0,1
54,55,False,-3.0,78,5,20
55,56,False,-5.5,78,9,25
56,57,False,0.0,79,5,25
57,58,False,0.0,79,8,35
58,59,False,-9.0,81,14,40
59,60,False,-8.0,82,7,25
60,61,False,-3.5,84,5,20
61,62,False,-1.5,85,10,25
62,63,False,-4.5,86,8,25
63,64,False,-6.0,86,8,25
64,65,False,-6.5,86,6,30
65,66,False,-5.5,86,9,20
66,67,False,-3.0,87,9,25
67,68,False,-6.5,87,8,25
68,69,False,-2.0,87,8,25
69,70,True,1.5,87,1,10
70,71,True,-3.5,89,8,22
71,72,False,2.0,91,10,35
72,73,False,-3.0,92,4,25
73,74,False,0.5,92,8,25
74,75,False,5.5,94,3,25
75,76,False,3.0,94,6,20
76,77,True,-3.0,95,2,3
77,78,False,-4.0,97,9,25
78,79,False,-7.0,97,11,25
79,80,False,-8.0,98,11,30
80,81,False,-6.5,98,12,35
81,82,False,2.5,99,9,35
82,83,False,3.0,102,11,50
83,84,False,0.0,103,4,35
84,85,True,-8.5,103,6,13
85,86,False,-5.0,104,8,25
86,87,False,-1.5,105,5,25
87,88,False,0.0,106,8,20
88,89,False,7.5,106,3,20
89,90,False,-6.5,107,9,45
90,91,False,2.0,110,7,20
91,92,False,-4.5,110,9,25
92,93,False,1.0,111,6,30
93,94,False,0.5,111,5,20
94,95,False,-4.0,111,5,20
95,96,False,-2.0,112,7,20
96,97,True,7.0,112,6,24
97,98,False,-7.5,112,12,40
98,99,False,10.5,112,3,20
99,100,False,-12.5,112,10,30
