,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
0,0.0,0.5,0.0,0.0,30.0,0.2,141.65,11.45,23.3
1,0.0,0.5,0.0,0.05,80.0,0.1,150.3,11.8,15.55
2,0.0,0.5,0.0,0.1,5.0,0.1,193.4,9.075,28.05
3,0.0,0.5,0.0,0.15,100.0,0.15,99.0,11.95,16.5
4,0.0,0.5,0.0,0.2,70.0,0.1,120.75,13.975,17.2
5,0.0,0.5,0.0,0.25,50.0,0.55,134.4,11.925,23.5
6,0.0,0.5,0.0,0.3,55.0,0.3,123.0,12.95,22.05
7,0.0,0.5,0.0,0.35,10.0,0.05,132.65,2.675,26.8
8,0.0,0.5,0.0,0.4,45.0,0.15,104.4,19.55,21.3
9,0.0,0.5,0.0,0.45,60.0,0.05,124.0,8.275,18.35
10,0.0,0.5,0.0,0.5,30.0,0.05,119.0,5.225,24.4
11,0.0,0.5,0.0,0.55,85.0,0.0,100.0,11.175,14.65
12,0.0,0.5,0.0,0.6,60.0,0.15,97.0,16.375,20.6
13,0.0,0.5,0.0,0.65,35.0,0.2,91.55,19.675,22.75
14,0.0,0.5,0.0,0.7,95.0,0.0,89.0,19.7,13.35
15,0.0,0.5,0.0,0.75,20.0,0.2,89.3,9.475,26.3
16,0.0,0.5,0.0,0.8,75.0,0.05,99.0,12.975,18.55
17,0.0,0.5,0.0,0.85,30.0,0.4,84.0,14.975,25.05
18,0.0,0.5,0.0,0.9,50.0,0.45,89.0,9.975,23.15
19,0.0,0.5,0.0,0.95,55.0,3.8,84.35,11.075,20.2
20,0.0,0.5,0.0,1.0,75.0,0.25,69.9,12.625,18.05
