,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
0,0.0,0.15,0.0,0.8,50.0,9.7,28.2,4.15,23.1
1,0.0,0.15,0.0,0.85,50.0,3.5,35.4,9.25,24.9
2,0.0,0.15,0.0,0.9,20.0,1.0,20.0,12.45,26.5
3,0.0,0.15,0.0,0.95,10.0,1.1,25.7,7.3,32.4
4,0.0,0.15,0.0,1.0,70.0,7.3,22.8,0.7,17.9
5,0.0,0.15,0.05,0.8,10.0,3.1,25.7,1.75,32.7
6,0.0,0.15,0.05,0.85,0.0,1.7,22.9,-0.3,33.5
7,0.0,0.15,0.05,0.9,40.0,5.6,22.2,2.0,23.5
8,0.0,0.15,0.05,0.95,30.0,1.4,25.0,5.15,23.6
9,0.0,0.15,0.05,1.0,70.0,2.1,24.5,7.6,20.0
10,0.0,0.15,0.1,0.8,40.0,2.1,22.3,10.3,22.8
11,0.0,0.15,0.1,0.85,70.0,5.4,26.9,4.6,24.3
12,0.0,0.15,0.1,0.9,90.0,1.0,26.0,10.65,15.9
13,0.0,0.15,0.1,0.95,20.0,5.0,26.5,-2.4,28.1
14,0.0,0.15,0.1,1.0,20.0,3.0,25.9,2.1,25.8
15,0.0,0.15,0.15,0.8,30.0,7.8,25.3,-1.45,33.7
16,0.0,0.15,0.15,0.85,30.0,5.7,33.5,1.95,32.4
17,0.0,0.15,0.15,0.9,30.0,4.4,28.0,1.9,27.4
18,0.0,0.15,0.15,0.95,20.0,6.4,27.7,-4.95,27.6
19,0.0,0.15,0.15,1.0,10.0,9.6,27.6,-3.7,26.8
20,0.0,0.15,0.2,0.8,40.0,6.7,28.5,-3.25,25.3
21,0.0,0.15,0.2,0.85,40.0,5.5,28.2,2.3,21.8
22,0.0,0.15,0.2,0.9,0.0,7.9,30.3,-5.8,32.5
23,0.0,0.15,0.2,0.95,10.0,4.1,26.1,-1.8,28.0
24,0.0,0.15,0.2,1.0,10.0,8.0,29.8,-5.9,28.0
25,0.0,0.2,0.0,0.8,50.0,3.0,28.3,5.05,22.8
26,0.0,0.2,0.0,0.85,30.0,2.2,24.5,7.7,28.4
27,0.0,0.2,0.0,0.9,30.0,3.1,25.7,6.65,27.4
28,0.0,0.2,0.0,0.95,90.0,0.5,24.3,9.25,13.2
29,0.0,0.2,0.0,1.0,30.0,2.6,26.1,1.15,26.9
30,0.0,0.2,0.05,0.8,60.0,4.0,29.8,5.05,24.6
31,0.0,0.2,0.05,0.85,60.0,1.5,27.2,10.05,21.6
32,0.0,0.2,0.05,0.9,0.0,4.2,21.9,2.25,25.5
33,0.0,0.2,0.05,0.95,30.0,3.5,27.8,-1.35,24.9
34,0.0,0.2,0.05,1.0,10.0,0.8,22.2,0.05,29.8
35,0.0,0.2,0.1,0.8,90.0,1.6,23.7,8.95,16.6
36,0.0,0.2,0.1,0.85,10.0,3.4,28.0,5.0,34.9
37,0.0,0.2,0.1,0.9,60.0,2.0,30.6,6.25,23.2
38,0.0,0.2,0.1,0.95,20.0,2.4,28.1,1.15,27.1
39,0.0,0.2,0.1,1.0,40.0,2.5,28.0,2.5,23.9
40,0.0,0.2,0.15,0.8,10.0,3.0,24.8,-1.05,24.1
41,0.0,0.2,0.15,0.85,50.0,2.3,26.7,10.65,22.5
42,0.0,0.2,0.15,0.9,10.0,2.1,21.5,-1.7,36.0
43,0.0,0.2,0.15,0.95,10.0,4.0,24.0,-1.1,30.5
44,0.0,0.2,0.15,1.0,0.0,7.3,29.0,-4.4,30.0
45,0.0,0.2,0.2,0.8,30.0,5.4,30.9,5.45,30.0
46,0.0,0.2,0.2,0.85,30.0,6.6,28.4,-5.15,30.4
47,0.0,0.2,0.2,0.9,60.0,1.6,24.7,7.65,20.2
48,0.0,0.2,0.2,0.95,0.0,4.7,32.1,-1.4,28.0
49,0.0,0.2,0.2,1.0,30.0,6.2,28.4,-0.5,26.9
50,0.0,0.25,0.0,0.8,30.0,2.8,27.5,-0.7,22.9
51,0.0,0.25,0.0,0.85,10.0,4.2,25.1,0.55,28.3
52,0.0,0.25,0.0,0.9,0.0,2.7,28.5,-2.95,29.5
53,0.0,0.25,0.0,0.95,0.0,1.3,24.5,-0.8,26.0
54,0.0,0.25,0.0,1.0,30.0,2.3,26.0,6.2,21.9
55,0.0,0.25,0.05,0.8,20.0,2.7,23.1,3.75,27.7
56,0.0,0.25,0.05,0.85,40.0,8.1,28.9,0.25,25.8
57,0.0,0.25,0.05,0.9,0.0,2.2,29.6,-0.3,28.5
58,0.0,0.25,0.05,0.95,90.0,1.2,30.3,19.0,19.7
59,0.0,0.25,0.05,1.0,0.0,1.8,23.4,-0.2,28.0
60,0.0,0.25,0.1,0.8,0.0,7.0,26.6,-6.3,27.5
61,0.0,0.25,0.1,0.85,60.0,5.8,27.5,4.5,27.2
62,0.0,0.25,0.1,0.9,20.0,6.5,27.5,-4.55,25.9
63,0.0,0.25,0.1,0.95,80.0,2.6,25.3,6.65,20.0
64,0.0,0.25,0.1,1.0,10.0,5.6,29.0,-1.35,28.4
65,0.0,0.25,0.15,0.8,40.0,6.8,28.4,-1.05,26.3
66,0.0,0.25,0.15,0.85,50.0,5.3,26.3,5.9,22.7
67,0.0,0.25,0.15,0.9,20.0,7.1,30.5,-6.05,28.8
68,0.0,0.25,0.15,0.95,20.0,5.7,31.3,0.85,29.1
69,0.0,0.25,0.15,1.0,60.0,5.6,26.4,4.95,18.6
70,0.0,0.25,0.2,0.8,20.0,3.8,27.7,-0.3,25.4
