,simulation_round,success,cum_reward,explored_states_cum,traffic_violations_count,actions_count
0,1,True,-3.5,8,10,20
1,2,False,-7.0,20,10,51
2,3,False,7.5,21,3,26
3,4,False,6.0,22,0,31
4,5,True,-7.5,24,7,20
5,6,True,19.0,26,2,27
6,7,True,0.5,27,1,3
7,8,True,11.5,28,2,10
8,9,True,4.0,29,0,10
9,10,True,10.5,31,7,31
10,11,True,11.0,31,1,7
11,12,True,0.5,31,5,9
12,13,False,7.0,34,4,21
13,14,True,8.0,34,2,12
14,15,True,9.0,36,0,19
15,16,True,9.5,36,0,10
16,17,True,1.5,36,0,5
17,18,True,7.0,36,1,7
18,19,True,4.5,36,0,8
19,20,True,2.0,36,0,11
20,21,False,-0.5,37,5,31
21,22,True,6.0,37,0,13
22,23,True,12.5,37,0,15
23,24,False,1.0,38,4,41
24,25,False,-5.0,42,7,26
25,26,False,5.5,44,5,36
26,27,True,6.0,45,5,22
27,28,False,-1.0,45,0,26
28,29,False,-10.0,48,12,41
29,30,True,6.0,48,0,3
30,31,True,-2.5,49,4,35
31,32,True,1.5,49,0,15
32,33,False,0.0,53,7,26
33,34,False,-10.0,53,9,31
34,35,True,-1.5,53,7,22
35,36,True,6.0,53,0,3
36,37,True,6.0,53,0,8
37,38,True,8.5,55,1,13
38,39,False,14.5,55,1,21
39,40,False,14.0,55,1,36
40,41,False,-2.0,56,4,31
41,42,True,-1.5,56,2,26
42,43,False,9.5,56,2,31
43,44,True,3.0,57,7,24
44,45,True,-7.0,57,8,24
45,46,False,-5.5,57,9,26
46,47,False,0.0,57,10,31
47,48,False,-6.5,58,12,31
48,49,True,0.5,58,3,18
49,50,False,0.0,58,11,31
50,51,False,-0.5,60,5,31
51,52,False,-9.5,61,0,41
52,53,False,4.5,63,2,26
53,54,False,1.5,64,0,26
54,55,False,3.5,65,3,21
55,56,False,-12.0,65,11,36
56,57,False,-7.5,65,11,41
57,58,False,8.5,65,2,26
58,59,False,2.0,65,6,36
59,60,True,4.5,67,6,21
60,61,False,-1.0,67,2,21
61,62,False,-0.5,68,4,26
62,63,True,9.5,68,0,25
63,64,True,4.0,68,0,2
64,65,True,13.0,68,4,22
65,66,True,-2.5,68,10,20
66,67,False,-12.5,69,11,26
67,68,False,0.0,70,2,26
68,69,False,0.5,70,0,21
69,70,False,4.0,71,0,36
70,71,False,-4.0,71,4,31
71,72,False,-8.0,74,11,31
72,73,False,1.0,74,6,26
73,74,False,-6.5,74,9,26
74,75,True,-3.0,76,3,15
75,76,False,1.5,78,1,26
76,77,False,1.0,79,0,41
77,78,False,4.5,79,0,21
78,79,False,-6.5,80,9,21
79,80,False,-4.5,80,6,21
80,81,True,1.0,80,7,11
81,82,False,15.0,80,6,36
82,83,False,13.0,80,7,31
83,84,False,3.0,80,3,26
84,85,True,3.5,81,2,10
85,86,False,11.5,82,3,41
86,87,False,3.0,83,7,36
87,88,False,5.5,83,2,21
88,89,False,-1.0,83,8,41
89,90,False,-3.0,83,12,31
90,91,False,-4.5,83,8,26
91,92,False,0.0,83,0,26
92,93,False,-2.0,83,5,41
93,94,False,-3.5,83,9,21
94,95,True,-1.0,83,9,25
95,96,False,3.5,83,8,21
96,97,True,3.0,83,2,8
97,98,True,9.0,83,3,16
98,99,False,15.0,83,1,26
99,100,False,17.0,83,0,31
