,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,-1.0,36.0
1,0.0,0.0,0.0,0.5,0.0,8.0,37.0,-8.0,41.0
2,0.0,0.0,0.0,1.0,0.0,15.0,35.0,-7.5,36.0
3,0.0,0.0,0.5,0.0,0.0,5.0,32.0,3.0,31.0
4,0.0,0.0,0.5,0.5,0.0,9.0,35.0,-8.0,41.0
5,0.0,0.0,0.5,1.0,100.0,0.0,31.0,-1.0,2.0
6,0.0,0.0,1.0,0.0,0.0,8.0,28.0,8.0,41.0
7,0.0,0.0,1.0,0.5,100.0,9.0,32.0,-5.5,18.0
8,0.0,0.0,1.0,1.0,0.0,8.0,37.0,-1.0,36.0
9,0.0,0.5,0.0,0.0,0.0,4.0,30.0,-3.0,31.0
10,0.0,0.5,0.0,0.5,0.0,0.0,38.0,18.0,31.0
11,0.0,0.5,0.0,1.0,0.0,0.0,14.0,0.0,21.0
12,0.0,0.5,0.5,0.0,0.0,4.0,38.0,-4.0,21.0
13,0.0,0.5,0.5,0.5,0.0,6.0,32.0,-0.5,21.0
14,0.0,0.5,0.5,1.0,0.0,2.0,32.0,0.5,21.0
15,0.0,0.5,1.0,0.0,0.0,8.0,41.0,-3.5,26.0
16,0.0,0.5,1.0,0.5,0.0,6.0,32.0,-5.0,26.0
17,0.0,0.5,1.0,1.0,0.0,7.0,37.0,0.0,31.0
18,0.0,1.0,0.0,0.0,0.0,8.0,32.0,-7.5,21.0
19,0.0,1.0,0.0,0.5,0.0,1.0,32.0,9.5,31.0
20,0.0,1.0,0.0,1.0,0.0,13.0,39.0,-13.5,46.0
21,0.0,1.0,0.5,0.0,0.0,8.0,32.0,-8.5,21.0
22,0.0,1.0,0.5,0.5,0.0,5.0,33.0,3.0,31.0
23,0.0,1.0,0.5,1.0,0.0,13.0,32.0,-5.5,41.0
24,0.0,1.0,1.0,0.0,100.0,2.0,33.0,3.0,12.0
25,0.0,1.0,1.0,0.5,0.0,9.0,30.0,1.5,26.0
26,0.0,1.0,1.0,1.0,0.0,8.0,32.0,0.0,21.0
27,5.0,0.0,0.0,0.0,0.0,8.0,29.0,-9.5,31.0
28,5.0,0.0,0.0,0.5,0.0,7.0,34.0,0.5,21.0
29,5.0,0.0,0.0,1.0,0.0,12.0,34.0,-7.0,31.0
30,5.0,0.0,0.5,0.0,0.0,3.0,39.0,5.0,26.0
31,5.0,0.0,0.5,0.5,0.0,3.0,36.0,-0.5,31.0
32,5.0,0.0,0.5,1.0,0.0,9.0,38.0,-3.5,26.0
