	q_size	cum_reward	success
0	16	-5.5	False
1	21	-9.5	False
2	25	-4.0	False
3	27	-9.5	False
4	27	-11.0	False
5	27	-2.5	True
6	28	1.0	False
7	30	2.0	False
8	31	2.0	False
9	35	5.0	False
10	36	2.0	False
11	36	1.0	True
12	36	-1.0	True
13	36	3.5	True
14	37	-4.5	False
15	38	6.0	True
16	38	5.0	True
17	38	19.5	True
18	40	9.5	False
19	40	7.5	False
20	40	-3.0	False
21	42	-10.0	False
22	46	3.0	True
23	46	19.5	False
24	47	17.0	False
25	49	-3.0	False
26	49	-8.5	True
27	49	-7.0	False
28	49	6.5	False
29	50	4.0	False
30	52	1.0	False
31	53	-4.0	False
32	53	9.0	False
33	53	8.0	False
34	53	4.0	False
35	54	-4.0	False
36	54	6.5	False
37	55	-5.0	False
38	55	-4.0	False
39	59	-0.5	False
40	59	-13.0	False
41	61	1.0	False
42	61	4.0	True
43	61	25.0	False
44	63	8.0	False
45	63	8.0	False
46	63	-9.0	False
47	63	3.0	True
48	63	5.0	True
49	63	6.5	False
50	64	-5.5	False
51	64	-1.5	True
52	65	9.5	False
53	65	-11.0	False
54	66	-11.5	False
55	66	-6.5	True
56	67	8.0	False
57	68	4.5	True
58	68	-6.5	True
59	69	10.5	False
60	69	8.0	True
61	69	9.0	True
62	69	5.5	True
63	70	6.5	True
64	70	-2.0	True
65	71	8.5	False
66	71	6.5	True
67	74	2.0	False
68	78	-5.0	True
69	78	0.0	False
70	79	-3.5	False
71	81	-1.0	False
72	81	3.5	True
73	81	-8.5	False
74	81	-2.0	True
75	81	-17.0	False
76	81	-10.5	False
77	81	-5.0	False
78	81	-1.5	False
79	81	-0.5	False
80	82	5.5	True
81	83	2.0	False
82	83	-2.0	False
83	83	-3.0	False
84	84	-13.5	False
85	84	-8.0	False
86	85	-10.0	False
87	86	-12.5	False
88	87	-6.0	False
89	88	-2.5	False
90	88	6.0	False
91	88	-4.5	False
92	90	-1.0	False
93	91	-6.5	False
94	91	-3.0	False
95	93	8.5	False
96	93	-19.0	False
97	93	-4.0	True
98	93	0.5	True
99	93	-3.0	False
