,iteration,success,cum_reward,explored_states_cum,traffic_violations_count
0,1,False,5.0,14,7
1,2,False,9.5,22,2
2,3,True,0.0,22,0
3,4,False,0.5,24,7
4,5,False,-7.5,27,7
5,6,True,4.0,27,3
6,7,False,7.0,27,4
7,8,True,-0.5,27,2
8,9,False,12.0,29,2
9,10,False,-7.0,29,11
10,11,False,0.0,30,11
11,12,False,-14.0,31,17
12,13,False,4.0,33,3
13,14,False,-2.0,33,4
14,15,False,-5.5,33,6
15,16,False,-7.0,33,13
16,17,True,4.0,33,2
17,18,True,4.0,33,4
18,19,True,12.0,33,6
19,20,True,-0.5,33,6
20,21,True,11.0,33,7
21,22,True,1.0,34,15
22,23,True,3.0,34,7
23,24,True,4.5,35,11
24,25,True,3.0,35,3
25,26,False,13.5,35,10
26,27,True,1.0,35,5
27,28,False,14.0,35,8
28,29,False,17.5,35,2
29,30,False,-3.5,36,9
30,31,True,-6.0,36,17
31,32,True,6.0,36,4
32,33,True,6.0,37,11
33,34,False,-4.0,38,17
34,35,False,3.0,41,12
35,36,True,6.0,41,0
36,37,True,0.0,41,6
37,38,True,5.5,41,4
38,39,False,13.0,41,11
39,40,True,-1.0,41,12
40,41,False,-11.0,41,11
41,42,False,-1.0,43,12
42,43,True,1.0,43,0
43,44,True,1.5,46,2
44,45,False,12.0,48,5
45,46,False,3.5,48,6
46,47,True,3.0,48,1
47,48,True,3.0,48,0
48,49,False,7.0,49,0
49,50,True,14.5,49,0
50,51,False,9.5,49,0
51,52,True,7.5,49,3
52,53,False,2.0,49,11
53,54,False,-1.0,50,3
54,55,True,-1.0,50,0
55,56,False,-8.0,50,12
56,57,False,-6.5,50,7
57,58,True,-16.0,50,16
58,59,True,3.5,51,5
59,60,False,1.5,52,4
60,61,True,-7.5,54,6
61,62,False,-14.0,54,16
62,63,False,-6.5,55,12
63,64,False,-3.0,55,0
64,65,False,-17.5,55,13
65,66,False,-14.0,55,15
66,67,False,-14.0,55,15
67,68,False,-7.5,55,11
68,69,True,-5.0,55,6
69,70,False,-18.0,56,15
70,71,False,-5.5,56,7
71,72,True,2.0,57,2
72,73,False,-10.5,57,13
73,74,False,4.0,59,6
74,75,False,4.5,60,2
75,76,True,4.0,60,6
76,77,False,-3.0,60,7
77,78,False,-2.5,61,13
78,79,False,-7.0,61,10
79,80,False,-2.0,62,3
80,81,False,0.5,62,8
81,82,True,8.0,62,0
82,83,False,7.0,62,2
83,84,True,5.5,62,0
84,85,False,3.0,63,3
85,86,False,4.5,64,9
86,87,True,2.0,64,2
87,88,False,1.5,65,6
88,89,False,-1.5,65,8
89,90,False,3.0,68,6
90,91,False,-0.5,69,2
91,92,False,-3.5,69,1
92,93,False,1.0,69,0
93,94,False,-6.0,71,1
94,95,True,-1.0,71,2
95,96,False,-7.0,71,6
96,97,False,-10.5,73,10
97,98,False,3.0,74,11
98,99,True,-3.0,75,9
99,100,False,-6.5,77,21
