,simulation_round,success,cum_reward,explored_states_cum,traffic_violations_count,actions_count
0,1,False,-5.0,17,10,30
1,2,False,-8.0,21,10,20
2,3,False,-7.0,26,11,25
3,4,False,-11.5,30,5,45
4,5,False,-4.5,33,6,45
5,6,False,0.0,33,2,20
6,7,True,-3.0,33,5,5
7,8,False,2.0,33,0,30
8,9,False,2.0,33,6,25
9,10,True,13.5,35,4,18
10,11,True,6.0,35,0,4
11,12,True,3.0,40,5,10
12,13,True,-2.0,40,8,12
13,14,True,10.0,40,0,15
14,15,True,10.0,40,0,9
15,16,True,11.0,41,1,26
16,17,True,15.5,41,0,23
17,18,True,6.0,41,0,6
18,19,True,17.5,42,4,26
19,20,True,10.0,42,0,17
20,21,True,10.0,42,0,15
21,22,True,10.0,42,0,9
22,23,True,20.0,43,0,19
23,24,True,18.0,43,0,15
24,25,True,12.0,43,0,12
25,26,True,8.0,44,0,3
26,27,True,6.0,44,0,15
27,28,True,8.0,44,0,19
28,29,True,6.0,44,0,2
29,30,True,6.0,44,0,10
30,31,True,8.0,44,0,9
31,32,True,6.0,44,0,9
32,33,True,14.0,44,0,14
33,34,True,10.0,44,0,15
34,35,True,10.0,44,0,17
35,36,True,12.0,45,0,14
36,37,True,8.0,45,0,7
37,38,True,16.0,45,0,17
38,39,True,12.0,45,0,11
39,40,True,12.0,45,0,10
40,41,True,11.5,45,0,9
41,42,True,10.0,45,0,9
42,43,True,8.0,45,0,5
43,44,True,12.0,46,0,8
44,45,True,6.0,46,0,11
45,46,True,14.0,46,0,23
46,47,True,12.0,46,0,14
47,48,True,10.0,46,0,9
48,49,True,9.0,47,1,15
49,50,True,10.0,47,0,9
50,51,True,6.0,47,0,6
51,52,True,7.0,48,1,13
52,53,True,9.5,48,0,10
53,54,True,23.0,50,0,34
54,55,True,8.0,50,0,9
55,56,True,13.5,51,0,14
56,57,True,10.0,51,0,12
57,58,True,14.5,52,1,23
58,59,True,6.0,52,0,7
59,60,True,6.0,52,0,11
60,61,True,18.0,52,0,15
61,62,True,9.5,53,0,14
62,63,True,5.5,54,0,7
63,64,True,7.0,56,1,19
64,65,True,13.5,56,2,26
65,66,True,8.0,56,0,15
66,67,True,6.0,56,0,12
67,68,True,12.0,56,0,23
68,69,True,11.0,56,1,15
69,70,True,6.0,56,0,12
70,71,True,10.0,56,0,9
71,72,True,9.5,56,0,15
72,73,True,10.0,57,0,11
73,74,True,10.0,57,0,14
74,75,True,8.0,57,0,8
75,76,True,7.5,57,0,4
76,77,True,10.0,57,0,11
77,78,True,14.0,57,0,14
78,79,True,8.0,57,0,17
79,80,True,10.0,57,0,19
80,81,True,8.0,57,0,6
81,82,True,6.0,57,0,11
82,83,True,8.0,59,0,15
83,84,True,16.0,59,0,11
84,85,True,15.5,59,0,22
85,86,True,16.0,59,0,13
86,87,True,11.5,59,0,17
87,88,True,16.0,59,0,15
88,89,True,14.0,59,0,24
89,90,True,18.0,59,0,19
90,91,True,12.0,59,0,14
91,92,True,16.0,59,0,20
92,93,True,14.0,59,0,24
93,94,True,10.0,60,0,9
94,95,True,9.5,62,0,13
95,96,True,6.0,62,0,3
96,97,True,6.0,62,0,12
97,98,True,8.0,62,0,5
98,99,True,8.0,62,0,8
99,100,True,5.0,62,1,3
